AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,8054120,0.2,,,,58.88,122480,0.1,24.03,34.35,50.8,74.16,#,49990,71460,105660,154260,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,6521790,0.3,,,,14.91,31010,0.2,10,11.57,13.69,17.06,21.68,20800,24070,28470,35480,45100,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,9158980,0.3,,,,19.3,40140,0.2,11.14,13.39,17.31,23.21,30.41,23160,27860,36000,48270,63250,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,205890,0.8,,,,93.2,193850,0.4,29.95,54.23,88.68,#,#,62290,112790,184460,#,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,263680,0.8,,,,71.73,149200,0.3,34.14,46.98,65.79,89.1,#,71010,97710,136850,185320,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,402600,0.6,,,,68.12,141690,0.3,28.76,40.94,60.89,85.5,#,59810,85150,126640,177830,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,654790,0.6,,,,70.93,147530,0.3,32.87,44.38,62.45,87.49,#,68370,92310,129890,181980,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,185790,0.9,,,,55.34,115110,0.3,31.27,39.62,50.71,65.81,84.65,65050,82400,105480,136880,176070,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,72100,0.8,,,,61.73,128400,0.4,34.35,44.5,58.23,73.51,92.98,71450,92560,121110,152890,193400,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,154800,0.7,,,,62.29,129570,0.3,32.84,42.38,56.11,75.27,98.9,68300,88150,116720,156560,205720,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,293380,0.9,,,,50.48,105000,0.4,26.99,34.57,45.8,60.6,79.23,56140,71900,95260,126040,164790,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,271020,0.8,,,,*,100340,0.8,*,*,*,*,*,63070,76650,96400,121500,148630,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,144880,1.1,,,,54.04,112400,0.7,26.59,33.89,45.87,64.94,93.31,55320,70490,95410,135070,194090,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,44550,2.2,,,,44.3,92150,1.0,22.17,29.46,41.08,55.76,70.28,46110,61280,85450,115990,146190,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,235470,1.2,,,,28.76,59820,0.5,15.97,20.32,26.6,34.27,44.73,33210,42260,55320,71270,93040,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,4450,3.5,,,,40.72,84700,1.2,22.67,28.29,36.04,47,65.7,47160,58840,74970,97770,136650,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,38340,2.4,,,,30.56,63570,1.1,15.09,19.24,26.17,36.12,50.83,31380,40010,54430,75130,105720,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,67720,4.8,,,,69.93,145450,2.0,31.76,45.65,62.07,84.86,#,66050,94940,129100,176510,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,10060,1.4,,,,39.68,82530,0.8,19.44,25.99,35.86,49.68,67.9,40430,54050,74590,103330,141230,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,9400,3.3,,,,45.78,95220,3.6,21.21,27.42,36.71,53.52,77.82,44120,57020,76350,111310,161870,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,13750,5.5,,,,31.85,66240,0.9,21.36,25.69,30.42,37.41,45.06,44430,53430,63270,77810,93720,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,633040,0.5,,,,32.58,67760,0.2,17.88,22.81,29.77,39.15,50.93,37180,47450,61920,81430,105930,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,75580,1.9,,,,34.55,71870,1.4,9.24,21.59,33.18,45.55,59.8,19230,44920,69020,94740,124380,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,182050,1.0,,,,37.83,78680,0.4,21.16,27.44,35.94,46.27,57.88,44020,57080,74750,96240,120400,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,709750,0.7,,,,45.94,95560,0.4,23.9,30.8,40.99,54.7,74.19,49700,64060,85260,113770,154310,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,51460,1.0,,,,38.61,80300,0.4,24.15,29.35,36.8,46.53,56.02,50230,61040,76540,96780,116510,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,73930,2.2,,,,40.83,84930,1.1,20.88,26.6,35.41,48.97,70.11,43430,55320,73650,101860,145840,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,210190,1.5,,,,57.35,119290,1.1,20.65,27.78,42.24,74.27,#,42950,57780,87850,154480,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,64550,2.3,,,,44.39,92330,1.4,20.91,28.3,38.99,54.82,76.06,43500,58860,81090,114030,158200,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,32110,2.8,,,,24.15,50230,0.9,15.23,17.91,22.09,28.11,36.9,31670,37250,45950,58470,76740,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,308370,1.2,,,,36.64,76200,0.6,15.65,21.56,30.42,44.69,63.79,32560,44840,63270,92960,132680,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,66670,2.8,,,,23.82,49550,1.4,10.46,13.68,20.71,30.32,41.86,21750,28450,43080,63070,87060,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,589060,1.0,,,,46.23,96160,0.4,26.53,33.65,43.71,56.31,71,55180,70000,90920,117120,147670,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,125570,1.8,,,,50.1,104210,0.5,27.79,36.27,47.95,61.85,76.37,57810,75450,99730,128640,158860,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,185430,1.3,,,,33.1,68860,0.5,18.75,23.63,30.51,40.01,51.17,38990,49160,63460,83230,106420,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,647330,0.8,,,,27.19,56550,0.4,15.54,19.39,25.13,32.72,42.53,32330,40340,52270,68060,88470,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,152420,1.5,,,,55.34,115110,0.5,31.14,41.01,54.18,68.56,80.96,64770,85290,112690,142610,168390,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,199540,1.6,,,,44.53,92610,1.4,24.11,31.62,41.61,53.91,67.43,50150,65760,86550,112120,140250,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,22260,3.8,,,,58.16,120970,1.1,31.18,39.04,52.09,71.5,93.08,64860,81210,108350,148720,193600,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,99680,1.8,,,,43.56,90600,0.5,23.4,30.18,40.78,54.17,67.69,48670,62780,84810,112680,140790,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,39090,2.2,,,,46,95680,0.8,25.33,32.92,43.83,57.11,70.56,52690,68480,91160,118790,146770,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,67880,3.8,,,,59.15,123030,1.7,32.91,42.69,56.36,72.52,89.06,68460,88800,117220,150840,185240,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,291710,1.4,,,,44.55,92660,0.3,27.54,33.91,42.32,52.96,64.46,57290,70540,88020,110160,134070,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,306990,1.3,,,,44.97,93540,0.3,27.47,33.79,42.51,53.84,66.36,57130,70280,88430,111980,138020,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,55210,1.5,,,,29.09,60500,0.8,17.48,21.66,27.43,34.84,44.24,36350,45050,57060,72460,92010,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-3019,"Drafters, All Other",detailed,14600,3.5,,,,26.37,54840,0.8,16.08,19.49,25.4,31.05,38.67,33450,40530,52830,64590,80430,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1011,Animal Scientists,detailed,2690,6.1,,,,32.96,68570,2.0,18.4,22.66,28.99,38.86,53.72,38260,47130,60300,80830,111740,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,40100,2.9,,,,42.11,87590,0.8,23.4,30.46,39.53,48.56,63.98,48670,63360,82220,101000,133080,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1031,Conservation Scientists,detailed,22070,1.5,,,,32.23,67040,0.6,18.88,23.79,30.12,38.28,47.14,39270,49480,62660,79630,98060,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,127180,3.2,,,,47.49,98770,1.2,23.57,29.77,42.69,58.58,76.77,49020,61920,88790,121850,159680,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1099,"Life Scientists, All Other",detailed,6450,5.2,,,,41.29,85890,3.5,18.93,25.86,36.49,50.16,69.96,39380,53780,75910,104340,145510,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-2032,Materials Scientists,detailed,6710,6.0,,,,48.28,100430,1.8,24.98,33.2,46.54,60.73,75.86,51950,69060,96810,126310,157780,,
