AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,7947300,0.2,,,,60.81,126480,0.2,24.84,35.7,52.77,76.71,#,51670,74250,109760,159550,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,2601070,0.4,,,,62.46,129920,0.2,21.41,32.57,51.05,80.73,#,44530,67740,106180,167930,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,202360,1.0,,,,95.12,197840,0.5,30.18,55.06,89.4,#,#,62780,114530,185950,#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,270200,1.0,,,,74.27,154470,0.4,35.88,48.89,68.35,92.19,#,74620,101690,142170,191760,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,390170,0.7,,,,70.95,147580,0.3,30.37,43.14,63.6,89.04,#,63170,89720,132290,185200,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2012370,0.3,,,,66.63,138590,0.2,33,43.79,60.12,81,#,68640,91070,125040,168480,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,653080,0.5,,,,72.84,151510,0.3,34.05,46.04,64.51,89.44,#,70830,95770,134180,186030,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,179570,0.8,,,,56.82,118190,0.3,32.26,40.86,52.3,67.93,87.12,67100,84990,108790,141290,181220,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,70960,0.9,,,,63.78,132660,0.4,35.85,46.35,60.55,76.04,95.01,74570,96400,125940,158160,197630,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,156600,0.6,,,,64.7,134580,0.3,34.22,44.1,58.28,78.23,#,71180,91730,121220,162720,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,2569880,0.3,,,,51.4,106910,0.2,22.29,31.5,45.76,64.36,86.41,46370,65510,95180,133870,179730,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9020,Construction Managers,broad,285640,1.0,,,,51.57,107260,0.5,27.35,35.32,46.72,61.95,81.28,56880,73460,97180,128860,169070,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,262480,0.8,,,,*,103010,0.6,*,*,*,*,*,65150,78560,98490,124380,152500,True,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,140880,1.2,,,,55.38,115200,0.8,27.07,34.63,46.87,66.94,95.87,56310,72030,97500,139220,199400,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,43580,2.5,,,,45.11,93830,0.8,22.94,30.33,42.11,56.57,70.59,47710,63090,87580,117670,146820,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9050,Food Service Managers,broad,197010,1.3,,,,29.33,61000,0.6,16.29,20.95,27.21,35.25,45.56,33880,43580,56590,73330,94770,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,3240,3.9,,,,41.08,85440,1.2,22.37,28.19,36.28,47.77,67.15,46540,58640,75470,99350,139680,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9080,Lodging Managers,broad,31790,3.0,,,,31.38,65270,1.3,15.86,20.4,27.25,36.86,51.95,32980,42430,56670,76660,108060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9120,Natural Sciences Managers,broad,75870,4.9,,,,74.49,154930,1.9,34.33,48.92,66.32,91.35,#,71400,101750,137940,190000,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9160,Emergency Management Directors,broad,10210,1.5,,,,40.53,84310,0.9,20.3,26.76,36.66,50.42,68.69,42230,55660,76250,104880,142870,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,10010,3.9,,,,44.01,91530,4.0,20.67,26.63,35.67,51.09,75.45,42990,55400,74200,106260,156940,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,5632020,0.3,,,,37.66,78320,0.2,19,25.38,34.35,46.68,60.88,39510,52800,71450,97100,126620,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,13220,6.6,,,,32.95,68540,0.9,22.31,26.77,31.52,38.48,45.98,46410,55680,65550,80030,95630,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,718120,0.5,,,,33.63,69950,0.3,17.66,23.13,30.81,41.04,53.58,36730,48110,64070,85370,111450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,647810,0.5,,,,33.38,69430,0.2,18.13,23.17,30.52,40.36,52.57,37710,48190,63490,83940,109350,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,70050,2.0,,,,36,74870,1.5,9.39,22.33,35.21,48.05,61.83,19520,46440,73240,99940,128600,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,184230,1.0,,,,38.38,79830,0.5,21.25,27.79,36.67,47.31,58.93,44190,57810,76270,98400,122580,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,734000,0.9,,,,46.91,97580,0.4,24.51,31.77,42.14,56.11,75.41,50990,66080,87660,116710,156840,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,2755470,0.4,,,,41.11,85510,0.3,20.14,26.52,35.5,48.69,67.5,41890,55150,73840,101270,140390,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2030,Budget Analysts,broad,49260,1.1,,,,39.75,82690,0.4,24.63,30.07,37.97,48.11,58.35,51220,62540,78970,100060,121360,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2040,Credit Analysts,broad,72090,2.4,,,,41.43,86170,1.2,21.28,26.98,36.05,49.92,70.52,44250,56120,74970,103840,146690,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,218050,1.7,,,,58.89,122490,1.2,21.2,28.58,42.95,75.49,#,44100,59450,89330,157020,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2060,Financial Examiners,broad,68210,2.2,,,,44.58,92730,1.4,21.1,28.39,39.15,54.41,76.5,43890,59050,81430,113170,159120,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,30770,3.6,,,,24.01,49940,0.9,15.46,18.1,22.2,27.51,35.77,32160,37640,46170,57220,74410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,308700,1.2,,,,36.99,76930,0.7,16.18,21.89,30.75,44.95,64.35,33650,45540,63960,93490,133850,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,62600,2.9,,,,25.34,52710,2.2,10.62,14.09,21.3,31.71,44.97,22090,29310,44300,65960,93540,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,574450,1.0,,,,47.61,99020,0.4,27.17,34.63,45.06,58.12,73.11,56510,72030,93730,120890,152060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,138000,1.7,,,,51.72,107580,0.4,28.88,37.71,49.8,63.89,78.51,60060,78440,103590,132890,163300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1230,Computer Support Specialists,broad,819040,0.7,,,,28.92,60160,0.3,16.23,20.42,26.69,35.3,46.17,33770,42470,55510,73420,96020,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,184220,1.4,,,,34.16,71040,0.5,19.53,24.39,31.47,41.31,53.1,40620,50730,65450,85930,110450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,634820,0.8,,,,27.4,57000,0.3,15.78,19.58,25.33,32.93,42.76,32830,40730,52690,68500,88940,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,159350,1.6,,,,57.32,119230,0.6,32.31,42.37,56.14,70.9,84.41,67190,88120,116780,147480,175570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,178140,1.8,,,,45.98,95640,1.6,24.73,32.39,42.88,55.87,70.22,51440,67370,89190,116220,146050,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2010,Actuaries,broad,22480,3.3,,,,59.22,123180,1.1,31.74,40.17,53.38,72.62,94.24,66030,83550,111030,151060,196010,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2030,Operations Research Analysts,broad,96220,1.7,,,,44.37,92280,0.6,23.1,30.32,41.44,55.33,69.39,48050,63070,86200,115080,144330,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2040,Statisticians,broad,38860,2.7,,,,46.72,97170,1.1,25.33,33.08,44.36,58.56,72.52,52700,68810,92270,121800,150840,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2060,Computer Hardware Engineers,broad,64710,3.9,,,,60.65,126140,1.8,33.7,43.42,57.48,73.77,92.36,70100,90310,119560,153450,192110,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,290190,1.4,,,,45.01,93610,0.3,27.86,34.44,42.76,53.54,65.83,57950,71630,88950,111360,136930,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2140,Mechanical Engineers,broad,293960,1.4,,,,45.94,95560,0.4,28.08,34.56,43.35,54.99,67.82,58410,71880,90160,114380,141060,,
