AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,9860740,0.6,,,,,63.08,131200,0.6,24.18,36.23,51.62,78.71,106.03,50290,75350,107360,163710,220550,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3618820,0.3,,,,,62.04,129050,1.1,20.89,30.06,48.02,76.96,#,43440,62520,99890,160070,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,199240,0.9,,,,,118.48,246440,1.6,36.02,58.89,91.12,#,#,74920,122480,189520,#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,328570,1.1,,,,,76.1,158280,0.6,36.92,49.55,67.33,95.45,#,76790,103060,140040,198530,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,536390,2.8,,,,,72.37,150530,0.4,29.34,42.26,62.79,86.72,#,61040,87910,130600,180390,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2322010,1.2,,,,,71.25,148190,0.4,35.24,46.91,62.96,83.07,111.2,73290,97570,130950,172780,231300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,740780,1.2,,,,,79.83,166050,0.5,38,50.07,67.21,97.94,#,79050,104150,139790,203720,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,211710,0.6,,,,,58.13,120900,0.4,32.56,41.03,51.71,67.03,85.8,67720,85350,107560,139430,178470,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,75070,1.4,,,,,67.62,140650,0.4,38.46,48.94,63.15,80.28,100.96,80000,101790,131350,166980,210000,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,181360,1.7,,,,,70.07,145750,0.4,36.83,47.23,62.5,82.29,107.87,76610,98230,130000,171170,224360,,
