AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,10495770,0.4,,,,,66.23,137750,0.5,26.23,37.66,56.19,81.29,111.36,54550,78330,116880,169090,231620,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3751510,0.4,,,,,65.43,136100,0.9,22.31,31.81,49.74,79.57,#,46400,66170,103460,165500,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,211230,1.4,,,,,124.47,258900,0.7,38.46,62.9,99.37,#,#,80000,130840,206680,#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,368940,1.8,,,,,80,166410,0.3,38.27,51.92,75.78,100,#,79600,108000,157620,208000,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,575880,1.3,,,,,75.77,157610,0.3,30.62,44.97,64.98,94.57,#,63700,93540,135160,196700,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,2513900,0.6,,,,,74.59,155150,0.3,36.69,48.41,65.47,88.22,#,76320,100690,136170,183500,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,787340,1.0,,,,,84.05,174820,0.5,39.84,52.98,75.05,101.36,#,82870,110190,156100,210830,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,222890,0.7,,,,,60.53,125900,0.3,34.62,44.03,56.24,72.7,91.58,72010,91590,116970,151220,190480,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,77530,1.2,,,,,70.53,146710,0.4,40.15,50.62,65.57,82.75,103.45,83510,105300,136380,172110,215170,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,200600,1.3,,,,,74.39,154740,0.4,38.97,49.68,65.55,87.56,#,81060,103340,136350,182120,#,,
